errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,diffusion,degree,activities,alphabetsize,winners
0,1,.1838299425356771,496,8,500,1,4,4,1000,-.0005781987673175501,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.17366695404052734,512,8,500,1,4,4,1000,-.0005426259915939118,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
1,4,.9340518606339595,272,8,500,1,4,4,1000,-.001922660952914068,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
.625,3.65,.9108869495425485,288,8,500,1,4,4,1000,-.0017149660968894002,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
.09799999999999998,2.251,.8860849698258805,304,8,500,1,4,4,1000,-.0015391939484547526,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
.013000000000000012,1.472,.8587444196428572,320,8,500,1,4,4,1000,-.0013891225384804141,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
.0020000000000000018,1.12,.8302106742994817,336,8,500,1,4,4,1000,-.0012599750915922123,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1.037,.8013381327479339,352,8,500,1,4,4,1000,-.0011480351557689374,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1.003,.7723372518903592,368,8,500,1,4,4,1000,-.0010503762105712015,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1.002,.7436307876829117,384,8,500,1,4,4,1000,-.0009646684295002876,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.7150035714285714,400,8,500,1,4,4,1000,-.0008890384246274651,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.6854566894943999,416,8,500,1,4,4,1000,-.0008219659991008368,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.6575631828091318,432,8,500,1,4,4,1000,-.0007622071541730668,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.6316243608213374,448,8,500,1,4,4,1000,-.0007087359890206195,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.6052235725963988,464,8,500,1,4,4,1000,-.0006607003750204111,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.5805460999503969,480,8,500,1,4,4,1000,-.0006173877948801841,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.5568248464675932,496,8,500,1,4,4,1000,-.0005781987673175501,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.5340585708618164,512,8,500,1,4,4,1000,-.0005426259915939118,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
0,1,.19458599156574394,272,8,1000,1,4,4,1000,.10277204455754042,sum_of_sum!,erase_clusters!,1,0,1,0,4,223070940,4
0,1,.17541310143849206,288,8,1000,1,4,4,1000,.09281248566208036,sum_of_sum!,erase_clusters!,1,0,1,0,4,280720440,4
0,1,.15887670966066483,304,8,1000,1,4,4,1000,.08426939174631913,sum_of_sum!,erase_clusters!,1,0,1,0,4,348881876,4
0,1,.14465401785714285,320,8,1000,1,4,4,1000,.07688302778396228,sum_of_sum!,erase_clusters!,1,0,1,0,4,428761520,4
0,1,.13214057944606414,336,8,1000,1,4,4,1000,.07045101390752878,sum_of_sum!,erase_clusters!,1,0,1,0,4,521631180,4
0,1,.12119290510625738,352,8,1000,1,4,4,1000,.06481369825643798,sum_of_sum!,erase_clusters!,1,0,1,0,4,628828200,4
0,1,.1114048680968134,368,8,1000,1,4,4,1000,.05984371870073195,sum_of_sum!,erase_clusters!,1,0,1,0,4,751755460,4
0,1,.10286894298735119,384,8,1000,1,4,4,1000,.05543843308584308,sum_of_sum!,erase_clusters!,1,0,1,0,4,891881376,4
0,1,.09517410714285714,400,8,1000,1,4,4,1000,.051514348941749576,sum_of_sum!,erase_clusters!,1,0,1,0,4,1050739900,4
0,1,.08825879649196956,416,8,1000,1,4,4,1000,.04800296953750765,sum_of_sum!,erase_clusters!,1,0,1,0,4,1229930520,4
0,1,.08220310050460514,432,8,1000,1,4,4,1000,.04484765810558382,sum_of_sum!,erase_clusters!,1,0,1,0,4,1431118260,4
0,1,.07661762738019315,448,8,1000,1,4,4,1000,.042001243953727264,sum_of_sum!,erase_clusters!,1,0,1,0,4,1656033680,4
0,1,.07158815239086122,464,8,1000,1,4,4,1000,.03942417591718151,sum_of_sum!,erase_clusters!,1,0,1,0,4,1906472876,4
0,1,.0670569816468254,480,8,1000,1,4,4,1000,.0370830842869879,sum_of_sum!,erase_clusters!,1,0,1,0,4,2184297480,4
0,1,.06296686858926713,496,8,1000,1,4,4,1000,.0349496508438621,sum_of_sum!,erase_clusters!,1,0,1,0,4,2491434660,4
0,1,.05921854291643415,512,8,1000,1,4,4,1000,.032999713600778045,sum_of_sum!,erase_clusters!,1,0,1,0,4,2829877120,4
.995,3.997,.9343907369933268,272,8,500,1,4,4,1000,-.001922660952914068,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
.999,4,.9334638956685616,272,8,500,1,4,4,1000,.19047245872318982,sum_of_sum!,erase_clusters!,1,0,1,0,20,1,20
